book,gross_exposure,path,seed,ending_after_tax_wealth,after_tax_cagr,gross_losses_realized,gross_losses_liquidation,disallowed_wash_losses,net_realized_pre_liquidation,tax_benefit_used,unused_loss_carry,liquidation_tax,tracking_error,max_drawdown,annual_turnover,management_fees,borrow_costs,transaction_costs,payments_in_lieu,dividend_taxes,debit_interest,min_margin_excess_ratio,max_net_exposure_error,maintenance_deficiency_observed,feasible_at_inception,deleverage_events,final_exposure_scale,yearly_taxes_paid
100/0,1.0,10,17,954216.5126701393,-0.004675503723115759,871848.6410811292,13431.885076537912,0.0,-430364.41362073325,204336.58337927845,-0.0,50488.38489847431,0.02422242278563067,-0.3301041559814647,0.6558957312493747,40019.744460639406,0.0,6762.154069672701,0.0,28896.82232358515,14897.55505847262,0.7263868235865344,0.09445270565386243,False,True,0,1.0,82397.220275811
100/0,1.0,11,18,1025050.3333378856,0.0024772349966892815,839150.7911045285,573.9572141173262,985.4868200736956,-384644.40423125157,197665.08130719772,-0.0,65906.35439234317,0.024521459301429273,-0.5266673558250923,0.6250803589958115,41544.3658716568,0.0,6732.074731201088,0.0,29843.532091120287,14586.985587377314,0.7314457072141843,0.07421717114326265,False,True,0,1.0,120892.69817752423
100/0,1.0,12,19,2200250.0613910533,0.08204968808817048,543936.8679374176,2678.747806891465,0.0,153571.40967168368,91020.12532696809,-0.0,324496.1439781432,0.02059157790863903,-0.23273822401551392,0.3244154155377626,62178.59980105925,0.0,6312.949291631743,0.0,45123.64513417742,34692.540538956084,0.7251132843069877,0.09954686277204927,False,True,0,1.0,460506.80158059177
100/0,1.0,13,20,688005.4297864411,-0.03670526507158056,923581.7687068941,62923.235493414046,12795.293913456797,-571312.077387157,264098.99720589863,-0.0,0.0,0.02978940667168035,-0.5930188835082972,0.7311144892380254,30832.503836342486,0.0,5734.233150330093,0.0,22421.621192006885,12172.424115943932,0.7251505554007697,0.09939777839692154,False,True,0,1.0,33494.20257054552
100/0,1.0,14,21,1228982.249603718,0.020832671373510303,716868.2063953611,4573.8241148965935,1238.6539557946219,-180066.89202222577,122827.17184240095,-0.0,88716.48224021275,0.018047983734329358,-0.39984786784640747,0.47240360320237595,55034.84481338657,0.0,6908.057903171221,0.0,39790.68432525854,26125.840733302204,0.7244811517346348,0.1020753930614613,False,True,0,1.0,147195.00058012718
100/0,1.0,15,22,3033961.2499775873,0.11738028124746513,503413.8036013507,12248.798066306459,3899.6686606574904,486074.74490923947,82159.76764862478,-0.0,487947.72147517325,0.018219870111781153,-0.4165331909449118,0.24407891307832888,95603.69512437479,0.0,7513.219064947166,0.0,69282.75385872355,55628.0405222393,0.723839095183395,0.1046436192664204,False,True,0,1.0,718532.2948514977
100/0,1.0,16,23,1167055.39436803,0.015568325049026166,782246.7327617619,78211.20634169558,14769.111159317456,-125484.72485104145,92594.05830813336,-0.0,41254.73633912701,0.020900111617004717,-0.42148164748029515,0.41881239284980165,57936.819501719925,0.0,6444.879083229996,0.0,41836.188958986204,26922.219734586375,0.7244024586015346,0.10239016559386127,False,True,0,1.0,83152.40038913304
100/0,1.0,17,24,770393.72001172,-0.025748073174436392,926138.7396425664,3245.028647982218,903.4806193054865,-551390.8108233599,215793.5923112916,-0.0,20637.202355977908,0.02425922971639427,-0.5608499011634254,0.6974353341738331,36699.41178836615,0.0,6482.463130037574,0.0,26567.09827443605,15121.99559615923,0.7267308071821411,0.09307677127143532,False,True,0,1.0,27190.44947252371
100/0,1.0,18,25,3487757.2976360894,0.1330644809857231,596149.3628732264,808.6710550263098,0.0,949910.8643400348,46007.54171846405,-0.0,538475.9287813598,0.018733168376345522,-0.33194748876230307,0.20252080032250425,121691.55656806142,0.0,8053.759779316325,0.0,87878.31891734425,65550.07885554076,0.7304139785354588,0.07834408585816499,False,True,0,1.0,848551.6872702641
100/0,1.0,19,26,2909188.3127554334,0.11269768226337229,388623.13992763805,18251.383244942564,5169.2782978229125,795843.2772541607,0.0,-0.0,384371.07078621833,0.016646041378520014,-0.2125073573912919,0.21115980926001326,98671.14782633692,0.0,6785.548191228711,0.0,71705.09249039154,60165.11907566089,0.7186546568605527,0.12538137255778903,False,True,0,1.0,639215.9103219532
100/0,1.0,20,27,2656691.277624825,0.10264092885323284,546360.1900035077,766.2633291112123,0.0,656773.503087905,37941.74871921772,-0.0,358535.20701362146,0.018228534843192055,-0.3030092655255736,0.28325735450681055,93621.66261795156,0.0,8067.557541038923,0.0,67954.59643490665,54801.64986149561,0.7227226279482705,0.10910948820691813,False,True,0,1.0,583579.2170619918
100/0,1.0,21,28,1599025.8430823195,0.04805855724838182,653978.1792644032,1510.362058463766,0.0,-114058.59861553602,141211.63188690954,-0.0,191605.30073769705,0.01669144267310066,-0.4727899120120437,0.4274264858908694,49252.685737911954,0.0,6066.9044652495595,0.0,35636.46773283768,21828.216522998762,0.7258429674034821,0.09662813038607143,False,True,0,1.0,282668.7817888469
