book,gross_exposure,maintenance_deficiency_probability,feasible_at_inception,deleverage_events_median,final_exposure_scale_median,ending_after_tax_wealth_p10,ending_after_tax_wealth_median,ending_after_tax_wealth_p90,after_tax_cagr_p10,after_tax_cagr_median,after_tax_cagr_p90,gross_losses_realized_p10,gross_losses_realized_median,gross_losses_realized_p90,gross_losses_liquidation_p10,gross_losses_liquidation_median,gross_losses_liquidation_p90,disallowed_wash_losses_p10,disallowed_wash_losses_median,disallowed_wash_losses_p90,net_realized_pre_liquidation_p10,net_realized_pre_liquidation_median,net_realized_pre_liquidation_p90,tax_benefit_used_p10,tax_benefit_used_median,tax_benefit_used_p90,unused_loss_carry_p10,unused_loss_carry_median,unused_loss_carry_p90,liquidation_tax_p10,liquidation_tax_median,liquidation_tax_p90,tracking_error_p10,tracking_error_median,tracking_error_p90,max_drawdown_p10,max_drawdown_median,max_drawdown_p90,annual_turnover_p10,annual_turnover_median,annual_turnover_p90,management_fees_p10,management_fees_median,management_fees_p90,borrow_costs_p10,borrow_costs_median,borrow_costs_p90,transaction_costs_p10,transaction_costs_median,transaction_costs_p90,payments_in_lieu_p10,payments_in_lieu_median,payments_in_lieu_p90,dividend_taxes_p10,dividend_taxes_median,dividend_taxes_p90,debit_interest_p10,debit_interest_median,debit_interest_p90,min_margin_excess_ratio_p10,min_margin_excess_ratio_median,min_margin_excess_ratio_p90,max_net_exposure_error_p10,max_net_exposure_error_median,max_net_exposure_error_p90,wealth_diff_vs_baseline_median,wealth_diff_vs_baseline_p10,wealth_diff_vs_baseline_p90,prob_beats_baseline
100/0,1.0,0.0,True,0.0,1.0,955932.2930486862,1617796.3158882712,2770694.6316956063,-0.004496694742664164,0.04928199958031698,0.10727774231834404,503291.06416739075,670601.2438130984,835511.7608658845,763.6186029688956,8575.169880860143,36833.02822193424,0.0,74.63544102374549,8756.063096583077,-415189.6282664092,45323.33274197113,607970.7412210068,32254.06594912482,91111.42490461672,194977.5309148253,-0.0,-0.0,0.0,43138.251143647554,159487.35801874008,385141.1674647455,0.017990697892527118,0.02187987248887615,0.026484250278337566,-0.501476109031817,-0.3324602586465029,-0.2005119635002274,0.25933101792181207,0.4017461063197385,0.5912650040219642,39864.311423621904,61228.31817783273,92878.94670154157,0.0,0.0,0.0,5960.738212781753,6823.926595113713,7860.6390397154355,0.0,0.0,0.0,28780.59362791404,44295.02510216632,67435.96324328377,16614.296640361998,31819.156215620762,51583.17359396878,0.721394398713628,0.7249264590150291,0.728883639887558,0.08446544044976767,0.10029416393988355,0.11442240514548829,0.0,0.0,0.0,0.0
130/30,1.6,0.0,True,0.0,1.0,864998.9003675627,1441204.2149365046,2410270.3529752325,-0.014404937735311587,0.03722398194856247,0.09195867566372323,1586735.849385647,1934871.2949733683,2577071.9198647127,16499.76857837936,50275.97940562254,150845.5037764108,90643.46202206524,140959.72950966342,226906.08382158013,-321330.6583511836,427541.34580419294,1625860.1535385826,43314.093598023006,116618.14169502031,210343.30867422736,-0.0,-0.0,0.0,0.0,60354.448603641824,161516.30762898247,0.07146078017185178,0.08236210517267462,0.09581903755092706,-0.5936346141102314,-0.3860059063416609,-0.2314954078013817,1.645753053851265,1.7654967213607669,1.8981115978939918,36579.144642351064,56003.822118093536,81539.82259848558,19466.557474682046,29406.7629902567,42777.38360423897,16018.460823124637,24005.01175705516,34164.85267409343,33742.032956115545,50971.72251644496,74147.46491401423,33726.50630037528,51641.561100619656,75061.71228003348,1956.7394814210393,6500.666034275754,14180.830602765667,0.5655355678291236,0.5689961080587924,0.5716572357592508,0.029713414051018704,0.03708367245244204,0.048333972812077415,-192401.3867965988,-644027.2592233157,163345.0842080982,0.24
150/50,2.0,0.0,True,0.0,1.0,770362.9220526852,1322215.3549606618,2368002.7836554456,-0.025751977188484543,0.028324584500254324,0.09002908646130281,1932253.8867175693,2439730.028934343,3371539.9489698093,17618.723790017903,56554.30469383304,178885.1903189005,133270.72453879984,221158.26343778503,352338.67038533563,-316237.3017224432,483728.72892254393,1708534.613388236,41857.621569915565,126072.0,219582.2160968219,-0.0,-0.0,0.0,7770.146164381995,67811.88930128564,187415.57822684044,0.09013402294027757,0.1057845934428863,0.12498824040394974,-0.6152275523734037,-0.42944957732632444,-0.24765072573268174,2.169161780082044,2.3256311801109515,2.4831477579195633,34474.408720489446,53193.377305591144,78960.00840195193,29442.1200060512,45743.11545697021,67386.74766079549,19637.457969878003,30288.321681251677,43594.894046153306,51033.00801048876,79288.06679208169,116803.69594537886,36611.80245984069,56778.776111905405,83644.59639550395,2834.235451675651,6331.379127324747,12925.06074785302,0.45688840598774627,0.460529818330802,0.4636218936122805,0.025772141936463756,0.03331162197362286,0.04290642252027566,-285339.02356475487,-872825.6425949212,149331.5240568113,0.19
200/100,3.0,0.0,True,0.0,1.0,618400.9821244329,1112349.8405636726,2108338.9528803853,-0.04692561172647725,0.010704154309813974,0.07744059489417818,2446491.4497556435,3503736.5623226473,5153097.9749541115,20171.960375306808,67431.62653117046,232134.69707083964,223209.0332511007,396807.5319185575,650876.1649908177,-329700.16019863,498450.2386257972,1989763.223857903,42008.95069999664,148648.58016530742,236215.6245001755,-0.0,-0.0,0.0,13278.699962983377,85927.44394147428,250563.96729916488,0.1388969097475771,0.1632402531495934,0.19039278042301444,-0.7305854702707554,-0.4990630896494749,-0.2974893472807994,3.4276821665707335,3.651109005216934,3.850327257124271,28671.487372052878,48590.80262640426,79314.45979090656,49398.04202470148,82401.49619901442,134702.7926669703,25978.996865907106,42165.41893925208,68379.98348203018,85623.27284281586,142829.2600782917,233484.84062274848,41327.693403951205,68941.56472763386,112089.39255501563,3375.095411009974,8061.550530681639,16906.15545790039,0.18303093925220423,0.18817620968440862,0.19061724341760794,0.022893751942619046,0.03048513386988244,0.03943712596891082,-495637.9503765438,-1308359.9271491047,133874.02304487998,0.17
250/150,4.0,0.03,False,0.0,0.9116279069767442,501533.064655923,904478.5847133667,1990457.316569391,-0.06668321625528503,-0.009991473813853291,0.07125949459044244,2747081.798357434,4073804.109414618,6140507.067136337,16824.842586232346,66547.54506335921,278711.4469621825,284615.9784227603,497754.87913878786,841219.5683369042,-329652.01020264503,514050.58383057755,2179148.299390852,59567.95073052117,151438.66831487085,235433.5917626736,-0.0,-0.0,0.0,21041.766090364938,87992.53313985,287798.21555831045,0.173283518285947,0.1997172825553012,0.23249508204834907,-0.7833074763303534,-0.575574703865485,-0.3503374119490738,4.235774360796967,4.523366603044867,4.77649246850378,26654.85106562764,45100.35648187966,80226.05333511841,63381.989728158216,104317.26904789478,180622.47296939397,29660.429584134734,48883.4752881139,82048.41062126741,109862.11552880757,180816.59968301764,313078.95314694964,44362.6067438108,72842.66004590184,126791.42939089601,0.0,0.0,620.0944810536228,0.005122656203040104,0.009510160789803542,0.012505911520804025,0.01965043566099419,0.025365502948372698,0.03353145958345185,-634473.0459632396,-1588658.0714601637,126651.8918561943,0.14
