scenario,book,n_paths,wealth_diff_median,wealth_diff_ci_lo,wealth_diff_ci_hi,wins,prob_beats,prob_ci_lo,prob_ci_hi
,130/30,200,-117867.36,-141804.35,-80867.11,58,0.29,0.2315,0.3564
,150/50,200,-164525.31,-223290.79,-126224.29,52,0.26,0.2041,0.3249
,200/100,200,-324244.92,-386683.44,-251389.71,52,0.26,0.2041,0.3249
,250/150,200,-427289.05,-497044.97,-353310.74,38,0.19,0.1417,0.25
